# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
148.9893371, 136.9490776, 58.6353691, -1.1883952, -0.0004055, 33.5400952, 1.0814826
149.9892656, 137.8768590, 59.0083032, -1.1888026, -0.0004093, 33.5723218, 1.0733720
150.9891940, 138.8047918, 59.3808570, -1.1892138, -0.0004131, 33.6042763, 1.0653223
151.9891225, 139.7328789, 59.7530278, -1.1896287, -0.0004169, 33.6359611, 1.0573330
152.9890509, 140.6611218, 60.1248119, -1.1900475, -0.0004207, 33.6673787, 1.0494035
153.9889793, 141.5895197, 60.4962050, -1.1904700, -0.0004244, 33.6985318, 1.0415336
154.9889078, 142.5180757, 60.8672044, -1.1908962, -0.0004282, 33.7294229, 1.0337226
155.9888362, 143.4467912, 61.2378064, -1.1913263, -0.0004320, 33.7600543, 1.0259703
156.9887646, 144.3756653, 61.6080067, -1.1917601, -0.0004358, 33.7904285, 1.0182760
157.9886931, 145.3047014, 61.9778024, -1.1921978, -0.0004395, 33.8205479, 1.0106395
158.9886215, 146.2339005, 62.3471901, -1.1926391, -0.0004433, 33.8504150, 1.0030603
159.9885500, 147.1632620, 62.7161654, -1.1930843, -0.0004471, 33.8800321, 0.9955378
160.9884784, 148.0927889, 63.0847254, -1.1935332, -0.0004509, 33.9094015, 0.9880718
161.9884068, 149.0224826, 63.4528665, -1.1939860, -0.0004546, 33.9385255, 0.9806618
162.9883353, 149.9523422, 63.8205845, -1.1944424, -0.0004584, 33.9674063, 0.9733074
163.9882637, 150.8823710, 64.1878764, -1.1949027, -0.0004622, 33.9960464, 0.9660081
164.9881921, 151.8125701, 64.5547388, -1.1953668, -0.0004660, 34.0244478, 0.9587636
165.9881206, 152.7429386, 64.9211672, -1.1958346, -0.0004697, 34.0526128, 0.9515734
166.9880490, 153.6734799, 65.2871588, -1.1963062, -0.0004735, 34.0805435, 0.9444371
167.9879775, 154.6041950, 65.6527100, -1.1967816, -0.0004773, 34.1082422, 0.9373543
168.9879059, 155.5350831, 66.0178164, -1.1972607, -0.0004811, 34.1357109, 0.9303246
169.9878343, 156.4661474, 66.3824753, -1.1977436, -0.0004849, 34.1629518, 0.9233477
170.9877628, 157.3973891, 66.7466831, -1.1982303, -0.0004886, 34.1899669, 0.9164231
171.9876912, 158.3288072, 67.1104352, -1.1987208, -0.0004924, 34.2167584, 0.9095504
172.9876196, 159.2604050, 67.4737290, -1.1992151, -0.0004962, 34.2433282, 0.9027293
173.9875481, 160.1921837, 67.8365608, -1.1997131, -0.0005000, 34.2696784, 0.8959593
174.9874765, 161.1241422, 68.1989261, -1.2002150, -0.0005038, 34.2958109, 0.8892401
175.9874050, 162.0562838, 68.5608222, -1.2007207, -0.0005077, 34.3217278, 0.8825713
176.9873334, 162.9886099, 68.9222453, -1.2012303, -0.0005116, 34.3474310, 0.8759524
177.9872618, 163.9211192, 69.2831907, -1.2017440, -0.0005158, 34.3729224, 0.8693833
178.9871903, 164.8538153, 69.6436555, -1.2022619, -0.0005201, 34.3982040, 0.8628634
179.9871187, 165.7866995, 70.0036354, -1.2027841, -0.0005243, 34.4232776, 0.8563924
180.9870471, 166.7197707, 70.3631256, -1.2033105, -0.0005287, 34.4481451, 0.8499699
181.9869756, 167.6530327, 70.7221228, -1.2038413, -0.0005330, 34.4728084, 0.8435956
182.9869040, 168.5864866, 71.0806228, -1.2043765, -0.0005374, 34.4972693, 0.8372690
183.9868325, 169.5201315, 71.4386204, -1.2049165, -0.0005427, 34.5215296, 0.8309900
184.9867609, 170.4539714, 71.7961116, -1.2054619, -0.0005481, 34.5455912, 0.8247580
185.9866893, 171.3880079, 72.1530913, -1.2060126, -0.0005535, 34.5694557, 0.8185727
186.9866178, 172.3222403, 72.5095527, -1.2065706, -0.0005626, 34.5931250, 0.8124339
187.9865462, 173.2566739, 72.8654889, -1.2071378, -0.0005718, 34.6166007, 0.8063411
188.9864746, 174.1913119, 73.2208911, -1.2077141, -0.0005809, 34.6398847, 0.8002939
189.9864031, 175.1261541, 73.5757496, -1.2082994, -0.0005899, 34.6629786, 0.7942922
190.9863315, 176.0612065, 73.9300570, -1.2088938, -0.0005990, 34.6858841, 0.7883354
191.9862599, 176.9964722, 74.2838047, -1.2094973, -0.0006080, 34.7086029, 0.7824233
192.9861884, 177.9319502, 74.6369831, -1.2101092, -0.0006161, 34.7311366, 0.7765556
193.9861168, 178.8676469, 74.9895855, -1.2107293, -0.0006241, 34.7534869, 0.7707318
194.9860453, 179.8035648, 75.3416045, -1.2113574, -0.0006322, 34.7756553, 0.7649517
195.9859737, 180.7397021, 75.6930309, -1.2119929, -0.0006388, 34.7976436, 0.7592150
196.9859021, 181.6760652, 76.0438599, -1.2126349, -0.0006454, 34.8194532, 0.7535213
197.9858306, 182.6126561, 76.3940850, -1.2132836, -0.0006520, 34.8410857, 0.7478703
198.9857590, 183.5494720, 76.7436980, -1.2139395, -0.0006597, 34.8625428, 0.7422617
199.9856874, 184.4865199, 77.0926936, -1.2146030, -0.0006675, 34.8838258, 0.7366951
200.9856159, 185.4238023, 77.4410643, -1.2152743, -0.0006752, 34.9049365, 0.7311703
201.9855443, 186.3613161, 77.7888004, -1.2159545, -0.0006855, 34.9258762, 0.7256869
202.9854728, 187.2990700, 78.1358946, -1.2166451, -0.0006958, 34.9466464, 0.7202446
203.9854012, 188.2370673, 78.4823370, -1.2173460, -0.0007061, 34.9672487, 0.7148432
204.9853296, 189.1753047, 78.8281153, -1.2180576, -0.0007172, 34.9876845, 0.7094823
205.9852581, 190.1137921, 79.1732216, -1.2187803, -0.0007282, 35.0079552, 0.7041615
206.9851865, 191.0525327, 79.5176452, -1.2195140, -0.0007393, 35.0280623, 0.6988807
207.9851149, 191.9915233, 79.8613731, -1.2202587, -0.0007503, 35.0480072, 0.6936395
208.9850434, 192.9307736, 80.2043973, -1.2210145, -0.0007614, 35.0677914, 0.6884375
209.9849718, 193.8702871, 80.5467071, -1.2217813, -0.0007724, 35.0874161, 0.6832746
210.9849003, 194.8100602, 80.8882894, -1.2225595, -0.0007840, 35.1068828, 0.6781504
211.9848287, 195.7501030, 81.2291357, -1.2233492, -0.0007956, 35.1261928, 0.6730647
212.9847571, 196.6904191, 81.5692349, -1.2241505, -0.0008071, 35.1453476, 0.6680170
213.9846856, 197.6310046, 81.9085731, -1.2249644, -0.0008208, 35.1643483, 0.6630073
214.9846140, 198.5718708, 82.2471402, -1.2257919, -0.0008344, 35.1831965, 0.6580351
215.9845424, 199.5130216, 82.5849230, -1.2266331, -0.0008481, 35.2018933, 0.6531002
216.9844709, 200.4544535, 82.9219057, -1.2274881, -0.0008622, 35.2204400, 0.6482023
217.9843993, 201.3961781, 83.2580775, -1.2283574, -0.0008764, 35.2388381, 0.6433411
218.9843278, 202.3381996, 83.5934249, -1.2292408, -0.0008906, 35.2570886, 0.6385164
219.9842562, 203.2805142, 83.9279314, -1.2301384, -0.0009047, 35.2751930, 0.6337278
220.9841846, 204.2231335, 84.2615862, -1.2310501, -0.0009189, 35.2931524, 0.6289752
221.9841131, 205.1660617, 84.5943757, -1.2319760, -0.0009331, 35.3109681, 0.6242583
222.9840415, 206.1092946, 84.9262833, -1.2329165, -0.0009480, 35.3286413, 0.6195767
223.9839699, 207.0528444, 85.2572975, -1.2338720, -0.0009630, 35.3461732, 0.6149302
224.9838984, 207.9967154, 85.5874040, -1.2348424, -0.0009780, 35.3635650, 0.6103185
225.9838268, 208.9409031, 85.9165847, -1.2358294, -0.0009961, 35.3808180, 0.6057415
226.9837553, 209.8854212, 86.2448259, -1.2368345, -0.0010143, 35.3979332, 0.6011987
227.9836837, 210.8302748, 86.5721101, -1.2378578, -0.0010324, 35.4149119, 0.5966900
228.9836121, 211.7754596, 86.8984164, -1.2388996, -0.0010514, 35.4317553, 0.5922152
229.9835406, 212.7209900, 87.2237299, -1.2399604, -0.0010703, 35.4484644, 0.5877739
230.9834690, 213.6668714, 87.5480324, -1.2410401, -0.0010893, 35.4650404, 0.5833659
231.9833974, 214.6130989, 87.8713022, -1.2421391, -0.0011089, 35.4814845, 0.5789910
232.9833259, 215.5596875, 88.1935235, -1.2432578, -0.0011286, 35.4977977, 0.5746489
233.9832543, 216.5066426, 88.5146777, -1.2443961, -0.0011482, 35.5139811, 0.5703393
234.9831827, 217.4539590, 88.8347416, -1.2455554, -0.0011705, 35.5300359, 0.5660621
235.9831112, 218.4016529, 89.1536977, -1.2467370, -0.0011929, 35.5459631, 0.5618169
236.9830396, 219.3497301, 89.4715245, -1.2479409, -0.0012152, 35.5617638, 0.5576036
237.9829681, 220.2981856, 89.7881962, -1.2491680, -0.0012391, 35.5774391, 0.5534218
238.9828965, 221.2470364, 90.1036939, -1.2504189, -0.0012630, 35.5929900, 0.5492715
239.9828249, 222.1962888, 90.4179942, -1.2516938, -0.0012869, 35.6084176, 0.5451522
240.9827534, 223.1459372, 90.7310697, -1.2529942, -0.0013140, 35.6237229, 0.5410639
241.9826818, 224.0960000, 91.0428984, -1.2543217, -0.0013412, 35.6389068, 0.5370062
242.9826102, 225.0464844, 91.3534540, -1.2556765, -0.0013684, 35.6539706, 0.5329789
243.9825387, 225.9973840, 91.6627057, -1.2570590, -0.0013968, 35.6689150, 0.5289819
244.9824671, 226.9487192, 91.9706304, -1.2584699, -0.0014252, 35.6837412, 0.5250148
245.9823956, 227.9004974, 92.2772007, -1.2599092, -0.0014536, 35.6984501, 0.5210775
246.9823240, 228.8527095, 92.5823829, -1.2613797, -0.0014876, 35.7130427, 0.5171697
247.9822524, 229.8053803, 92.8861502, -1.2628842, -0.0015216, 35.7275200, 0.5132912
248.9821809, 230.7585186, 93.1884697, -1.2644227, -0.0015557, 35.7418829, 0.5094418
249.9821093, 231.7121130, 93.4893022, -1.2659950, -0.0015893, 35.7561324, 0.5056212
250.9820377, 232.6661910, 93.7886209, -1.2676010, -0.0016229, 35.7702694, 0.5018293
251.9819662, 233.6207604, 94.0863933, -1.2692405, -0.0016565, 35.7842949, 0.4980659
252.9818946, 234.5758081, 94.3825799, -1.2709137, -0.0016901, 35.7982098, 0.4943307
253.9818231, 235.5313616, 94.6771540, -1.2726206, -0.0017238, 35.8120149, 0.4906234
254.9817515, 236.4874283, 94.9700828, -1.2743611, -0.0017575, 35.8257113, 0.4869440
255.9816799, 237.4439949, 95.2613267, -1.2761354, -0.0017912, 35.8392998, 0.4832922
